News_ID,Date,Country,Headline
1,2021-05-15,Germany,Central banks increase gold reserves in Germany.
2,2021-04-10,USA,Retail gold investments rise sharply in USA.
3,2022-09-23,China,Retail gold investments rise sharply in China.
4,2023-12-30,Germany,Retail gold investments rise sharply in Germany.
5,2021-02-23,China,Retail gold investments rise sharply in China.
6,2022-05-01,India,Gold prices surge as market uncertainty grows.
7,2020-10-25,India,Gold prices surge as market uncertainty grows.
8,2022-02-05,China,Gold prices surge as market uncertainty grows.
9,2022-08-10,China,Retail gold investments rise sharply in China.
10,2022-06-06,UK,Gold prices surge as market uncertainty grows.
11,2021-08-25,UAE,UAE sees highest gold demand in a decade.
12,2022-11-15,Turkey,Gold prices drop amid strong dollar in Turkey.
13,2020-03-23,Germany,Retail gold investments rise sharply in Germany.
14,2021-12-22,USA,USA sees highest gold demand in a decade.
15,2021-09-27,India,Gold prices drop amid strong dollar in India.
16,2020-01-23,India,Gold prices surge as market uncertainty grows.
17,2023-12-27,India,Gold prices drop amid strong dollar in India.
18,2020-05-02,China,Gold prices surge as market uncertainty grows.
19,2021-03-23,UAE,Gold prices drop amid strong dollar in UAE.
20,2020-02-19,China,Retail gold investments rise sharply in China.
21,2021-11-15,Germany,Gold prices drop amid strong dollar in Germany.
22,2021-12-11,Germany,Gold prices drop amid strong dollar in Germany.
23,2021-08-06,China,China sees highest gold demand in a decade.
24,2022-11-24,USA,Gold prices drop amid strong dollar in USA.
25,2022-06-16,USA,Retail gold investments rise sharply in USA.
26,2022-11-18,Germany,Gold prices surge as market uncertainty grows.
27,2023-01-27,UK,Gold prices drop amid strong dollar in UK.
28,2020-05-17,UAE,Central banks increase gold reserves in UAE.
29,2022-02-12,Turkey,Turkey sees highest gold demand in a decade.
30,2024-01-02,UK,Retail gold investments rise sharply in UK.
31,2024-01-19,UK,UK sees highest gold demand in a decade.
32,2020-10-18,India,Central banks increase gold reserves in India.
33,2023-06-17,USA,Retail gold investments rise sharply in USA.
34,2022-03-18,China,Central banks increase gold reserves in China.
35,2020-03-31,USA,USA sees highest gold demand in a decade.
36,2020-09-29,USA,Central banks increase gold reserves in USA.
37,2023-03-11,Germany,Central banks increase gold reserves in Germany.
38,2020-11-06,Germany,Retail gold investments rise sharply in Germany.
39,2023-03-09,UAE,UAE sees highest gold demand in a decade.
40,2020-01-02,India,Gold prices surge as market uncertainty grows.
41,2020-03-17,India,India sees highest gold demand in a decade.
42,2022-09-15,UK,Gold prices surge as market uncertainty grows.
43,2022-08-17,India,Central banks increase gold reserves in India.
44,2022-10-07,UK,Gold prices surge as market uncertainty grows.
45,2023-10-02,USA,Retail gold investments rise sharply in USA.
46,2021-12-02,Turkey,Gold prices drop amid strong dollar in Turkey.
47,2022-02-01,UK,Retail gold investments rise sharply in UK.
48,2023-03-27,China,Gold prices drop amid strong dollar in China.
49,2021-11-08,UAE,UAE sees highest gold demand in a decade.
50,2020-11-14,UAE,Gold prices drop amid strong dollar in UAE.
51,2023-10-29,UAE,UAE sees highest gold demand in a decade.
52,2023-05-01,Turkey,Central banks increase gold reserves in Turkey.
53,2020-02-15,India,Retail gold investments rise sharply in India.
54,2021-07-11,Germany,Germany sees highest gold demand in a decade.
55,2021-09-07,UAE,Retail gold investments rise sharply in UAE.
56,2022-04-08,UK,Gold prices surge as market uncertainty grows.
57,2021-09-07,UAE,UAE sees highest gold demand in a decade.
58,2020-10-30,USA,Gold prices drop amid strong dollar in USA.
59,2021-03-24,India,Central banks increase gold reserves in India.
60,2020-11-09,Germany,Gold prices surge as market uncertainty grows.
61,2023-01-15,UK,Gold prices drop amid strong dollar in UK.
62,2022-04-25,China,Retail gold investments rise sharply in China.
63,2023-03-06,Germany,Germany sees highest gold demand in a decade.
64,2020-06-15,China,Central banks increase gold reserves in China.
65,2023-06-30,India,Retail gold investments rise sharply in India.
66,2020-05-15,UK,UK sees highest gold demand in a decade.
67,2022-06-11,USA,Retail gold investments rise sharply in USA.
68,2022-06-04,Turkey,Central banks increase gold reserves in Turkey.
69,2022-08-27,Germany,Gold prices surge as market uncertainty grows.
70,2022-01-28,China,Gold prices surge as market uncertainty grows.
71,2021-04-27,China,Retail gold investments rise sharply in China.
72,2022-03-22,Germany,Gold prices drop amid strong dollar in Germany.
73,2022-04-10,India,Retail gold investments rise sharply in India.
74,2021-04-26,Turkey,Turkey sees highest gold demand in a decade.
75,2023-06-04,India,Central banks increase gold reserves in India.
76,2020-11-22,China,Gold prices drop amid strong dollar in China.
77,2023-04-30,China,Retail gold investments rise sharply in China.
78,2020-06-18,Turkey,Gold prices surge as market uncertainty grows.
79,2020-06-17,USA,Gold prices surge as market uncertainty grows.
80,2023-01-11,India,Retail gold investments rise sharply in India.
81,2020-07-08,Germany,Central banks increase gold reserves in Germany.
82,2020-01-05,USA,Retail gold investments rise sharply in USA.
83,2020-03-07,India,Central banks increase gold reserves in India.
84,2022-01-21,China,China sees highest gold demand in a decade.
85,2023-03-17,UK,Gold prices surge as market uncertainty grows.
86,2020-12-04,USA,USA sees highest gold demand in a decade.
87,2020-07-23,China,Gold prices surge as market uncertainty grows.
88,2020-06-17,UAE,Gold prices surge as market uncertainty grows.
89,2020-01-01,UAE,Central banks increase gold reserves in UAE.
90,2020-12-14,Turkey,Retail gold investments rise sharply in Turkey.
91,2022-10-01,Turkey,Gold prices surge as market uncertainty grows.
92,2023-04-30,China,China sees highest gold demand in a decade.
93,2022-12-13,UAE,Gold prices surge as market uncertainty grows.
94,2023-06-08,Turkey,Turkey sees highest gold demand in a decade.
95,2020-05-13,India,Retail gold investments rise sharply in India.
96,2021-06-16,UAE,Central banks increase gold reserves in UAE.
97,2023-12-04,UK,Gold prices drop amid strong dollar in UK.
98,2022-10-13,USA,Gold prices drop amid strong dollar in USA.
99,2023-11-12,India,India sees highest gold demand in a decade.
100,2022-03-16,USA,USA sees highest gold demand in a decade.
101,2020-11-29,UK,Retail gold investments rise sharply in UK.
102,2022-07-15,Turkey,Turkey sees highest gold demand in a decade.
103,2021-09-19,UAE,UAE sees highest gold demand in a decade.
104,2023-12-16,UK,Retail gold investments rise sharply in UK.
105,2021-04-26,Germany,Germany sees highest gold demand in a decade.
106,2021-10-30,UK,Central banks increase gold reserves in UK.
107,2022-08-02,India,Central banks increase gold reserves in India.
108,2020-11-13,UK,Gold prices surge as market uncertainty grows.
109,2020-04-30,USA,Gold prices drop amid strong dollar in USA.
110,2020-10-29,USA,Gold prices surge as market uncertainty grows.
111,2020-09-15,Germany,Central banks increase gold reserves in Germany.
112,2020-05-30,UK,UK sees highest gold demand in a decade.
113,2021-11-12,Turkey,Turkey sees highest gold demand in a decade.
114,2021-05-04,UAE,Retail gold investments rise sharply in UAE.
115,2022-04-19,Germany,Gold prices surge as market uncertainty grows.
116,2023-09-30,UK,Gold prices drop amid strong dollar in UK.
117,2023-04-18,UK,UK sees highest gold demand in a decade.
118,2021-03-05,UK,Retail gold investments rise sharply in UK.
119,2020-03-10,UK,UK sees highest gold demand in a decade.
120,2022-03-11,India,Central banks increase gold reserves in India.
121,2020-05-15,China,Gold prices surge as market uncertainty grows.
122,2021-05-31,USA,Retail gold investments rise sharply in USA.
123,2022-10-16,India,Retail gold investments rise sharply in India.
124,2022-03-25,UK,UK sees highest gold demand in a decade.
125,2020-09-29,Germany,Germany sees highest gold demand in a decade.
126,2023-12-19,UK,Retail gold investments rise sharply in UK.
127,2021-10-06,UK,Gold prices drop amid strong dollar in UK.
128,2023-12-04,Turkey,Central banks increase gold reserves in Turkey.
129,2020-12-02,USA,USA sees highest gold demand in a decade.
130,2020-07-09,Germany,Retail gold investments rise sharply in Germany.
131,2020-10-30,China,Gold prices surge as market uncertainty grows.
132,2021-05-06,India,Gold prices drop amid strong dollar in India.
133,2022-10-11,UAE,UAE sees highest gold demand in a decade.
134,2024-01-16,India,Central banks increase gold reserves in India.
135,2020-03-19,Germany,Gold prices surge as market uncertainty grows.
136,2022-01-08,UK,UK sees highest gold demand in a decade.
137,2023-06-13,Turkey,Turkey sees highest gold demand in a decade.
138,2020-01-06,China,Gold prices surge as market uncertainty grows.
139,2022-10-23,Germany,Central banks increase gold reserves in Germany.
140,2020-10-29,India,India sees highest gold demand in a decade.
141,2023-09-10,UK,Gold prices drop amid strong dollar in UK.
142,2022-12-23,China,Retail gold investments rise sharply in China.
143,2023-04-24,UAE,Gold prices drop amid strong dollar in UAE.
144,2021-02-06,UAE,Retail gold investments rise sharply in UAE.
145,2024-02-06,Turkey,Gold prices surge as market uncertainty grows.
146,2024-01-12,Germany,Gold prices drop amid strong dollar in Germany.
147,2021-08-17,UAE,Gold prices drop amid strong dollar in UAE.
148,2022-07-23,Turkey,Gold prices surge as market uncertainty grows.
149,2021-11-12,China,Gold prices surge as market uncertainty grows.
150,2023-04-21,Germany,Gold prices surge as market uncertainty grows.
151,2022-05-04,Germany,Retail gold investments rise sharply in Germany.
152,2023-03-17,UAE,Central banks increase gold reserves in UAE.
153,2023-04-25,China,Central banks increase gold reserves in China.
154,2021-06-26,Germany,Germany sees highest gold demand in a decade.
155,2020-03-20,UK,Central banks increase gold reserves in UK.
156,2023-04-01,UK,UK sees highest gold demand in a decade.
157,2021-06-27,Germany,Gold prices surge as market uncertainty grows.
158,2021-04-14,UAE,Gold prices surge as market uncertainty grows.
159,2022-07-09,India,Central banks increase gold reserves in India.
160,2020-01-05,Germany,Retail gold investments rise sharply in Germany.
161,2020-06-04,USA,USA sees highest gold demand in a decade.
162,2023-01-24,UAE,Retail gold investments rise sharply in UAE.
163,2022-10-24,USA,USA sees highest gold demand in a decade.
164,2023-05-14,Turkey,Gold prices surge as market uncertainty grows.
165,2023-04-03,Germany,Central banks increase gold reserves in Germany.
166,2023-09-16,UAE,Gold prices drop amid strong dollar in UAE.
167,2020-08-25,China,Central banks increase gold reserves in China.
168,2023-02-22,Germany,Germany sees highest gold demand in a decade.
169,2023-01-21,India,Central banks increase gold reserves in India.
170,2023-11-04,USA,Retail gold investments rise sharply in USA.
171,2021-11-04,USA,Central banks increase gold reserves in USA.
172,2020-02-12,Germany,Gold prices surge as market uncertainty grows.
173,2024-02-06,India,India sees highest gold demand in a decade.
174,2023-09-08,India,India sees highest gold demand in a decade.
175,2021-06-10,UK,Retail gold investments rise sharply in UK.
176,2022-05-23,India,Central banks increase gold reserves in India.
177,2020-12-01,UK,UK sees highest gold demand in a decade.
178,2021-08-14,USA,USA sees highest gold demand in a decade.
179,2023-11-17,UAE,Gold prices drop amid strong dollar in UAE.
180,2020-05-20,UK,Gold prices surge as market uncertainty grows.
181,2020-09-05,India,Gold prices surge as market uncertainty grows.
182,2020-05-15,India,India sees highest gold demand in a decade.
183,2020-08-20,India,Retail gold investments rise sharply in India.
184,2020-09-05,China,Gold prices drop amid strong dollar in China.
185,2022-12-30,Turkey,Retail gold investments rise sharply in Turkey.
186,2020-09-07,UAE,Retail gold investments rise sharply in UAE.
187,2023-06-12,UK,UK sees highest gold demand in a decade.
188,2020-06-19,Turkey,Turkey sees highest gold demand in a decade.
189,2020-07-07,Turkey,Turkey sees highest gold demand in a decade.
190,2022-03-05,India,Central banks increase gold reserves in India.
191,2021-05-27,UAE,Gold prices surge as market uncertainty grows.
192,2020-06-25,UAE,Gold prices surge as market uncertainty grows.
193,2020-10-25,India,India sees highest gold demand in a decade.
194,2022-12-05,India,Gold prices drop amid strong dollar in India.
195,2022-09-07,India,India sees highest gold demand in a decade.
196,2021-11-27,USA,Retail gold investments rise sharply in USA.
197,2022-06-04,Turkey,Gold prices surge as market uncertainty grows.
198,2022-11-15,Turkey,Retail gold investments rise sharply in Turkey.
199,2020-12-09,India,Central banks increase gold reserves in India.
200,2023-07-29,UAE,Retail gold investments rise sharply in UAE.
201,2023-04-15,Turkey,Gold prices surge as market uncertainty grows.
202,2021-04-09,UK,Retail gold investments rise sharply in UK.
203,2022-07-26,UAE,Retail gold investments rise sharply in UAE.
204,2023-08-08,China,China sees highest gold demand in a decade.
205,2020-03-26,India,Gold prices surge as market uncertainty grows.
206,2021-01-20,Germany,Gold prices surge as market uncertainty grows.
207,2021-12-28,UAE,Gold prices surge as market uncertainty grows.
208,2022-02-01,UK,UK sees highest gold demand in a decade.
209,2020-01-16,Germany,Germany sees highest gold demand in a decade.
210,2022-08-07,Turkey,Gold prices surge as market uncertainty grows.
211,2020-07-15,India,Gold prices drop amid strong dollar in India.
212,2023-02-23,UAE,Gold prices surge as market uncertainty grows.
213,2020-10-05,UAE,Retail gold investments rise sharply in UAE.
214,2023-02-07,Germany,Gold prices drop amid strong dollar in Germany.
215,2021-11-28,UK,Gold prices surge as market uncertainty grows.
216,2020-03-07,UAE,UAE sees highest gold demand in a decade.
217,2021-10-01,India,Gold prices drop amid strong dollar in India.
218,2022-05-21,Turkey,Turkey sees highest gold demand in a decade.
219,2020-08-06,USA,Gold prices surge as market uncertainty grows.
220,2023-09-23,China,Central banks increase gold reserves in China.
221,2021-06-12,UK,Retail gold investments rise sharply in UK.
222,2021-07-28,India,India sees highest gold demand in a decade.
223,2022-04-23,Turkey,Gold prices surge as market uncertainty grows.
224,2022-01-15,UAE,Gold prices surge as market uncertainty grows.
225,2021-09-23,Germany,Germany sees highest gold demand in a decade.
226,2020-02-16,Germany,Gold prices surge as market uncertainty grows.
227,2021-11-02,China,Central banks increase gold reserves in China.
228,2020-07-09,UK,Central banks increase gold reserves in UK.
229,2023-05-19,UAE,Gold prices drop amid strong dollar in UAE.
230,2020-07-24,Turkey,Turkey sees highest gold demand in a decade.
231,2020-07-13,USA,USA sees highest gold demand in a decade.
232,2021-11-14,Turkey,Turkey sees highest gold demand in a decade.
233,2021-01-09,USA,Gold prices drop amid strong dollar in USA.
234,2023-04-07,India,Gold prices surge as market uncertainty grows.
235,2020-04-10,India,India sees highest gold demand in a decade.
236,2023-01-31,China,Gold prices drop amid strong dollar in China.
237,2020-06-12,Turkey,Gold prices drop amid strong dollar in Turkey.
238,2023-11-15,UAE,Gold prices drop amid strong dollar in UAE.
239,2023-02-05,China,China sees highest gold demand in a decade.
240,2022-04-06,USA,Gold prices surge as market uncertainty grows.
241,2022-05-10,China,Gold prices surge as market uncertainty grows.
242,2021-11-13,UK,UK sees highest gold demand in a decade.
243,2020-04-16,UK,Central banks increase gold reserves in UK.
244,2020-07-12,USA,Gold prices drop amid strong dollar in USA.
245,2020-08-06,USA,Retail gold investments rise sharply in USA.
246,2022-08-18,USA,USA sees highest gold demand in a decade.
247,2023-01-14,Germany,Gold prices surge as market uncertainty grows.
248,2020-11-21,China,Gold prices drop amid strong dollar in China.
249,2021-05-22,UAE,Gold prices surge as market uncertainty grows.
250,2020-12-10,China,Central banks increase gold reserves in China.
